,Priority,Clone,2012-2019 Total,Process,Status 081623,Year completed,R-mAb gBlocks,GA number,Isotype switch to IgG2b status,BG note
,455,N456/39,0,Neuromabseq inhouse cloning,"Passed validation via IB 4/7/23, shipped to Addgene 7/27/23",4,Set 10,383,,
,459,N467/1.8,0,Neuromabseq inhouse cloning,"Tc supes collected 3/20/23, COS-IF positive 6/5/23, shipped to Addgene 7/27/23",4,Set 10,384,,
,424,N473/36.3,1,Neuromabseq inhouse cloning,"Passed validation via COS-IF 4/13/23, shipped to Addgene 7/27/23",4,Set 10,385,,
,33,K69/3.2(VL1),,Neuromabseq inhouse cloning,"TC Supes collected, failed validation via IB, (no need to pursue as GA387 succeeded ) ",4,Set 10,386,,
,33,K69/3.2(VL2),,Neuromabseq inhouse cloning,"Passed validation via IB 4/5/23, shipped to Addgene 7/27/23",4,Set 10,387,,
,312,N119/44,6,Neuromabseq inhouse cloning,"Passed validation via COS-IF 3/30/23, shipped to Addgene 7/27/23",4,Set 10,389,,
,373,N155/9,2,Neuromabseq inhouse cloning,"Passed validation via COS-IF 3/30/23, shipped to Addgene 7/27/23",4,Set 10,390,,
,358,N274/8,3,Neuromabseq inhouse cloning,"Passed validation via by COS-IF 4/27/23, shipped to Addgene 7/27/23",4,Set 10,391,,
,461,N469/28,0,Neuromabseq inhouse cloning,"GA done 3/20/23, failed sequencing 3/22/23",,Set 10,392,,
,415,N382/69,1,Neuromabseq inhouse cloning,"Passed validation via IB 4/7/23, shipped to Addgene 7/27/23",4,Set 10,393,,
,418,N420/24,1,Neuromabseq inhouse cloning,"Passed validation via IB 4/5/23, shipped to Addgene 7/27/23",4,Set 10,394,,
,446,N428/12,0,Neuromabseq inhouse cloning,"Passed validation via COS-IF 4/13/23, shipped to Addgene 7/27/23",4,Set 10,395,,
,450,N446/80,0,Neuromabseq inhouse cloning,"Passed validation via IB 4/7/23, shipped to Addgene 7/27/23",4,Set 10,396,,
,391,N447/24,2,Neuromabseq inhouse cloning,"Passed validation via IB 4/5/23, shipped to Addgene 7/27/23",4,Set 10,397,,
,421,N451/73,1,Neuromabseq inhouse cloning,"Passed validation via IB 4/5/23, shipped to Addgene 7/27/23",4,Set 10,398,,
,423,N460/19,1,Neuromabseq inhouse cloning,"Passed validation via IB 4/5/23, shipped to Addgene 7/27/23",4,Set 10,399,,
,414,N364/42,1,Neuromabseq inhouse cloning,"Passed validation via IB 4/7/23, shipped to Addgene 7/27/23",4,Set 10,400,,
,465,N476/9,0,Neuromabseq inhouse cloning,"Passed validation via IB 4/7/23, shipped to Addgene 7/27/23",4,Set 10,401,,
,361,N347/42,3,Neuromabseq inhouse cloning,"Passed validation via IB 4/7/23, shipped to Addgene 7/27/23",4,Set 10,402,,
,454,N454/91,0,Neuromabseq inhouse cloning,"Passed validation via IB 4/5/23, shipped to Addgene 7/27/23",4,Set 10,403,,
,347,N455/15,4,Neuromabseq inhouse cloning,"Passed validation via IB 4/7/23, shipped to Addgene 7/27/23",4,Set 10,404,,
,351,N123/19,3,Neuromabseq inhouse cloning,"GA performed 4/27/23, Protein ELISA positive 6/27/23,  shipped to Addgene 7/27/23",4,Set 11,405,,
,369,N123/48,2,Neuromabseq inhouse cloning,"GA performed 4/27/23, Protein ELISA positive 6/27/23,  shipped to Addgene 7/27/23",4,Set 11,406,,
,370,N128A/2,2,Neuromabseq inhouse cloning,"Passed validation via COS-IF  5/12/23, shipped to Addgene 7/27/23",4,Set 11,407,,
,300,N128A/4,7,Neuromabseq inhouse cloning,"Passed validation via IB 5/19/23, shipped to Addgene 7/27/23",4,Set 11,408,,
,234,N336B/83,17,Neuromabseq inhouse cloning,"TC supes collected 5/9/23, Protein ELISA positive 6/27/23,  shipped to Addgene 7/27/23",4,Set 11,409,,
,270,N253/32,10,Neuromabseq inhouse cloning,"Passed validation via IB 5/12/23, shipped to Addgene 7/27/23",4,Set 11,410,,
,316,N330A/80,6,Neuromabseq inhouse cloning,"Passed validation via IB 5/19/23, shipped to Addgene 7/27/23",4,Set 11,412,,
,412,N356/9,1,Neuromabseq inhouse cloning,"Passed validation via IB 5/19/23, shipped to Addgene 7/27/23",4,Set 11,413,,
,291,N372C/51,8,Neuromabseq inhouse cloning,"Passed validation via COS-IF 5/18/23, shipped to Addgene 7/27/23",4,Set 11,414,,
,419,N440/21,1,Neuromabseq inhouse cloning,"Passed validation via IHC 5/17/2023, shipped to Addgene 7/27/23",4,Set 11,415,,
,448,N440/61,0,Neuromabseq inhouse cloning,"Passed validation via IB 5/23/23, shipped to Addgene 7/27/23",4,Set 11,416,,
,449,N442/28,0,Neuromabseq inhouse cloning,"Passed validation via IB 5/19/23, shipped to Addgene 7/27/23",4,Set 11,417,,
,420,N444/63,1,Neuromabseq inhouse cloning,"Passed validation via IB 5/19/23, shipped to Addgene 7/27/23",4,Set 11,418,,
,,N295B/54,,Neuromabseq inhouse cloning,"Passed validation via COS-IF 5/18/23, shipped to Addgene 7/27/23",4,Set 11,421,,
,,N405/74,,Neuromabseq inhouse cloning,"Passed validation via COS-IF 5/18/23, shipped to Addgene 7/27/23",4,Set 11,422,,
,352,N142/28,3,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/8/23, shipped to Addgene 7/27/23",4,Set 12,423,,
,353,N143/36,3,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/8/23, shipped to Addgene 7/27/23",4,Set 12,424,,
,354,N143/38,3,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/8/23, shipped to Addgene 7/27/23",4,Set 12,425,,
,407,N173B/13,1,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/8/23, shipped to Addgene 7/27/23",4,Set 12,426,,
,301,N228A/16,7,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/8/23, shipped to Addgene 7/27/23",4,Set 12,428,,
,325,N232/9,5,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/8/23, shipped to Addgene 7/27/23",4,Set 12,429,,
,442,N349/96,0,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/8/23, shipped to Addgene 7/27/23",4,Set 12,430,,
,384,N380/87,2,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/13/23, shipped to Addgene 7/27/23",4,Set 12,431,,
,293,N397/19,8,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/13/23, shipped to Addgene 7/27/23",4,Set 12,432,,
,444,N400/24,0,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/26/23, shipped to Addgene 7/27/23",4,Set 12,433,,
,445,N424/48 (VL1),0,Neuromabseq inhouse cloning,"Supes collected 6/10/23, Failed via Cos-IF 6/13/23, (no need to pursue as GA435 succeeded )",4,Set 12,434,,
,445,N424/48 (VL2),,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/13/23, shipped to Addgene 7/27/23",4,Set 12,435,,
,365,N431/64,3,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/13/23, shipped to Addgene 7/27/23",4,Set 12,436,,
,462,N470/22,0,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/26/23, shipped to Addgene 7/27/23",4,Set 12,437,,
,464,N472/88,0,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/13/23, shipped to Addgene 7/27/23",4,Set 12,438,,
,425,N474/27,1,Neuromabseq inhouse cloning,Redo GA,,Set 12,439,,
,426,N92/14,1,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/13/23, shipped to Addgene 7/27/23",4,Set 12,440,,
,231,L36/12,17,Neuromabseq inhouse cloning,TC supes collected 6/12/23,,Set 12,441,,
,422,N458/10,1,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/13/23, shipped to Addgene 7/27/23",4,Set 12,442,,
,476,N180/41,,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/13/23, shipped to Addgene 7/27/23",4,Set 12,443,,
,248,N416/40,15,Neuromabseq inhouse cloning,Redo GA,,Set 12,444,,
,392,N461/19,2,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/13/23, shipped to Addgene 7/27/23",4,Set 12,445,,
,457,N463/52 (VL1),0,Neuromabseq inhouse cloning,"Passed validation via IB 6/14/23, shipped to Addgene 7/27/23",4,Set 12,446,,
,457,N463/52 (VL2),,Neuromabseq inhouse cloning,"Failed validation via IB 6/14/23, (no need to pursue as GA446 succeeded )",4,Set 12,447,,
,349,N90/20,4,Neuromabseq inhouse cloning,"TC supes collected 6/13/23, Inconclusive via COS-IF 6/13/23",,Set 12,448,,
,434,N132A/12,0,Neuromabseq inhouse cloning,"TC supes collected 6/12/23, Protein ELISA positive 6/27/23,  shipped to Addgene 7/27/23",4,Set 12,449,,
,271,N257/25,10,Neuromabseq inhouse cloning,TC supes collected 6/12/23,,Set 12,450,,
,326,N262/16,5,Neuromabseq inhouse cloning,TC supes collected 6/12/23,,Set 12,452,,
,438,N299/39,0,Neuromabseq inhouse cloning,TC supes collected 6/12/23,,Set 12,453,,
,380,N307/12,2,Neuromabseq inhouse cloning,"TC supes collected 6/12/23, Protein ELISA positive 6/27/23,  shipped to Addgene 7/27/23",4,Set 12,454,,
,439,N309A/21,0,Neuromabseq inhouse cloning,"TC supes collected 6/10/23, Protein ELISA positive 6/27/23,  shipped to Addgene 7/27/23",4,Set 12,455,,
,327,N310/21,5,Neuromabseq inhouse cloning,"TC supes collected 6/10/23, Protein ELISA inconclusive 6/27/23",,Set 12,456,,"**Inconclusive, not positive"
,383,N358/68,2,Neuromabseq inhouse cloning,"TC supes collected 6/10/23, Protein ELISA positive 6/27/23,  shipped to Addgene 7/27/23",4,Set 12,457,,
,469,N56/9,0,Neuromabseq inhouse cloning,"TC supes collected 6/10/23, Protein ELISA positive 6/27/23,  shipped to Addgene 7/27/23",4,Set 12,458,,
,357,N245/44,3,Neuromabseq inhouse cloning,"TC supes collected 6/10/23, Protein ELISA positive 6/27/23,  shipped to Addgene 7/27/23",4,Set 12,459,,
,377,N250/21,2,Neuromabseq inhouse cloning,"TC supes collected 6/10/23, Protein ELISA positive 6/27/23,  shipped to Addgene 7/27/23",4,Set 12,460,,
,378,N251/14,2,Neuromabseq inhouse cloning,"TC supes collected 6/10/23, Protein ELISA positive 6/27/23,  shipped to Addgene 7/27/23",4,Set 12,461,,
,192,L80/21,26,Neuromabseq inhouse cloning,Passed validation via COS-IF 02/04/22 shipped to Addgene 6/27/22,3,Set 2,N/A,,
,,L129/93.1,0,Neuromabseq inhouse cloning,gBlocks ordered 8/16/23,,Set 13,,,
,,L129/96.1.1,0,Neuromabseq inhouse cloning,gBlocks ordered 8/16/23,,Set 13,,,
,,N4/19.3,0,Neuromabseq inhouse cloning,gBlocks ordered 8/16/23,,Set 13,,,
,,N293/50.1,0,Neuromabseq inhouse cloning,gBlocks ordered 8/16/23,,Set 13,,,
,,N351/24.2,0,Neuromabseq inhouse cloning,gBlocks ordered 8/16/23,,Set 13,,,
,,N351/24.3,0,Neuromabseq inhouse cloning,gBlocks ordered 8/16/23,,Set 13,,,
,,N448/50.2,0,Neuromabseq inhouse cloning,gBlocks ordered 8/16/23,,Set 13,,,
,,N490/24.3,0,Neuromabseq inhouse cloning,gBlocks ordered 8/16/23,,Set 13,,,
,320,UNC 65.56.18.11,6,Neuromabseq inhouse cloning,gBlocks ordered 8/16/23,,Set 13,,,
,,,,,,,,,,
,25,K87A/10,314,Andrews method,"DNA found, passed sequencing check, pending validation, not needed as GA225 passed",,,passed as GA225,,
,84,N202/7,90,Andrews method,"DNA found, passed sequencing check, pending validation, no need to pursue as GA219 succeeded",,,passed as GA219,,
,36,N134/12,211,Andrews method,,,,passed as GA226,,
,43,K55/7,183,Andrews method,"DNA found, passed sequencing check, pending validation via (no need to pursue as GA266 succeeded)",,,passed as GA266,,
,23,N327/95,331,Neuromabseq inhouse cloning,"Passed validation, shipped to Addgene 9/27/21",2,Trial ,Trial 1,Completed,
,14,K65/35,442,Neuromabseq inhouse cloning,"Passed validation via IB 4/9/21, shipped to Addgene 9/27/21",2,Trial ,Trial 2,Completed,
,9,K14/16,481,Andrews method,At Addgene 6/12/19,NA,NA,,,
,10,K89/34,479,Andrews method,At Addgene 6/12/19,NA,NA,,Completed,
,13,N133/21,449,Andrews method,At Addgene 7/20/18,NA,NA,,Completed,
,15,N59/36,436,Andrews method,At Addgene 7/20/18,NA,NA,,Completed,
,18,N28/9,393,Andrews method,At Addgene 6/12/19,NA,NA,,Completed,
,20,N355/1,380,Andrews method,At Addgene 7/20/18,NA,NA,,Completed,
,21,K57/1,376,Andrews method,At Addgene 6/12/19,NA,NA,,Completed,
,26,K36/15,297,Andrews method,At Addgene 6/12/19,NA,NA,,,
,27,K74/71,293,Andrews method,At Addgene 6/12/19,NA,NA,,,
,28,N70/28,292,Andrews method,At Addgene 7/20/18,NA,NA,,,
,30,N16B/8,242,Andrews method,At Addgene 7/20/18,NA,NA,,,
,32,N97A/31,225,Andrews method,At Addgene 7/20/18,NA,NA,,,
,37,N23B/49,204,Andrews method,At Addgene 6/12/19,NA,NA,,,
,39,N114/10,197,Andrews method,At Addgene 7/20/18,NA,NA,,,
,41,K75/41,193,Andrews method,At Addgene 6/12/19,NA,NA,,,
,46,K20/78,175,Andrews method,At Addgene 6/12/19,NA,NA,,,
,51,N3/26,157,Andrews method,At Addgene 2/7/20,NA,NA,,,
,52,N170A/1,154,Andrews method,At Addgene 7/20/18,NA,NA,,,
,53,K64/15,153,Andrews method,At Addgene 6/12/19,NA,NA,,,
,54,N29/29,152,Andrews method,At Addgene 7/20/18,NA,NA,,,
,57,L20/8,146,Andrews method,At Addgene 6/12/19,NA,NA,,,
,71,N69/46,110,Andrews method,At Addgene 2/7/20,NA,NA,,,
,72,L11A/41,108,Andrews method,"DNA found, passed validation, pending to Addgene",NA,NA,,,
,77,K17/70,99,Andrews method,At Addgene 6/2/19,NA,NA,,,
,82,K13/31,93,Andrews method,At Addgene 6/2/19,NA,NA,,,
,83,N178A/9,91,Andrews method,At Addgene 7/20/18,NA,NA,,,
,84,N202/7.1.5,,Neuromabseq inhouse cloning,"do not pursue in set 11, passed as R-219",,Set 11,,,
,85,K7/45,87,Andrews method,At Addgene,NA,NA,,,
,86,N52A/42,87,Andrews method,At Addgene 7/20/18,NA,NA,,Completed,
,88,N93A/49,82,Andrews method,At Addgene 7/20/18,NA,NA,,,
,89,N127/31,81,Andrews method,At Addgene 7/20/18,NA,NA,,,
,91,N110/29,80,Andrews method,At Addgene 7/20/18,NA,NA,,,
,92,K39/25,79,Andrews method,At Addgene 6/2/19,NA,NA,,,
,93,L60/4,79,Andrews method,At Addgene 7/20/18,NA,NA,,,
,95,L28/4,78,Andrews method,At Addgene 6/2/19,NA,NA,,,
,96,N149/25,77,Andrews method,At Addgene 7/20/18,NA,NA,,,
,98,N151/3,76,Andrews method,At Addgene 7/20/18,NA,NA,,,
,102,N11/33,74,Andrews method,At Addgene 7/20/18,NA,NA,,,
,106,N201/35,70,Andrews method,At Addgene 12/2/20,NA,NA,,,
,111,N1/66,66,Andrews method,"DNA found, passed validation; shipped to Addgene 6/27/22",2,NA,,,
,113,N147/6,62,Andrews method,At Addgene 7/20/18,NA,NA,,,
,116,N289/16,60,Andrews method,At Addgene 7/20/18,NA,NA,,,
,117,N7/18,60,Andrews method,At Addgene 7/20/18,NA,NA,,,
,119,N76/8,58,Andrews method,At Addgene 6/12/19,NA,NA,,,
,122,N182/17,55,Andrews method,At Addgene 7/20/18,NA,NA,,,
,123,N244/5,55,Andrews method,At Addgene 7/20/18,NA,NA,,,
,138,K19/36,44,Andrews method,At Addgene 2/7/20,NA,NA,,,
,140,N111/24,43,Andrews method,At Addgene 2/7/20,NA,NA,,,
,143,N96/55,43,Andrews method,At Addgene 7/20/18,NA,NA,,,
,144,N34/34,42,Andrews method,At Addgene 7/20/18,NA,NA,,,
,145,N415/24,42,Andrews method,At Addgene 4/22/20,NA,NA,,,
,147,N81/37,42,Andrews method,At Addgene 7/20/18,NA,NA,,,
,151,L18A/3,40,Andrews method,At Addgene 4/22/20,NA,NA,,,
,152,N195A/16,40,Andrews method,At Addgene 7/20/18,NA,NA,,,
,157,K91/36,39,Andrews method,At Addgene 6/12/19,NA,NA,,,
,158,N205B/22,39,Andrews method,At Addgene 6/12/19,NA,NA,,,
,159,N235/22,39,Andrews method,At Addgene 7/20/18,NA,NA,,,
,162,K9/40,37,Andrews method,At Addgene 2/7/20,NA,NA,,,
,166,K37/89,34,Andrews method,"DNA found, passed validation, shipped to Addgene 6/27/22",2,NA,,,
,170,N419/78,33,Andrews method,At Addgene 7/20/18,NA,NA,,,
,176,N116/14,31,Andrews method,At Addgene 7/20/18,NA,NA,,,
,183,N106/43,28,Andrews method,At Addgene 6/12/19,NA,NA,,,
,184,N167/7,28,Andrews method,"DNA found, passed validation, shipped to Addgene 6/27/22",2,NA,,,
,185,N212/3,28,Andrews method,At Addgene 7/20/18,NA,NA,,,
,187,N121A/1,27,Neuromabseq inhouse cloning,"do not pursue in set 11, passed as R-371",,Set 11,,,
,189,N230/21,27,Andrews method,At Addgene 7/20/18,NA,NA,,,
,190,N408/62,27,Andrews method,"DNA found, passed sequencing check, validated IB 4/15/21, shipped to Addgene 9/27/21",2,NA,,,
,191,L43/40,26,Andrews method,At Addgene 6/12/19,NA,NA,,,
,197,L6/23,25,Andrews method,At Addgene 6/12/19,NA,NA,,,
,200,N124B/38,24,Andrews method,At Addgene 2/7/20,NA,NA,,,
,201,N297/59,24,Andrews method,"DNA found, passed sequencing check, pending validation",,wait,,,
,206,N2/16,23,Andrews method,At Addgene 7/20/18,NA,NA,,,
,207,L42/17,22,Andrews method,At Addgene 6/12/19,NA,NA,,,
,210,N388A/10,22,Andrews method,At Addgene 7/20/18,NA,NA,,,
,212,L8/15,21,Andrews method,At Addgene 2/7/20,NA,NA,,,
,214,N164/6,21,Andrews method,At Addgene 7/20/18,NA,NA,,,
,215,N258/5,21,Andrews method,"DNA found, passed validation, shipped to Addgene 8/11/22",NA,NA,,,
,220,N279B/27,20,Andrews method,At Addgene 4/22/20,NA,NA,,,
,222,N84/37,20,Andrews method,At Addgene 7/20/18,NA,NA,,,
,223,L5/1,19,Andrews method,At Addgene 2/7/20,NA,NA,,,
,235,N76/3,17,Andrews method,At Addgene 7/20/18,NA,NA,,,
,238,N321C/49,16,Andrews method,At Addgene 7/20/18,NA,NA,,,
,242,N120A/9,15,Andrews method,At Addgene 7/20/18,NA,NA,,,
,245,N291C/22,15,Andrews method,At Addgene 7/20/18,NA,NA,,,
,253,N174B/27,14,Andrews method,At Addgene,NA,NA,,,
,255,N135/37,13,Andrews method,At Addgene,NA,NA,,,
,257,N83/48,13,Andrews method,At Addgene 2/7/20,NA,NA,,,
,258,N85/18,13,Andrews method,At Addgene 7/20/18,NA,NA,,,
,262,N98/7,12,Andrews method,At Addgene 2/7/20,NA,NA,,,
,265,N278/19,11,Andrews method,At Addgene 7/20/18,NA,NA,,,
,274,N51/6,10,Andrews method,At Addgene 7/20/18,NA,NA,,,
,280,N320/48,9,Andrews method,At Addgene 4/22/20,NA,NA,,,
,287,N268/19,8,Andrews method,At Addgene 7/20/18,NA,NA,,,
,288,N269/73,8,Andrews method,At Addgene 7/20/18,NA,NA,,,
,304,N346/9,7,Andrews method,At Addgene 7/20/18,NA,NA,,,
,307,K51/1,6,Andrews method,At Addgene 6/12/19,NA,NA,,,
,313,N150/21,6,Andrews method,At Addgene 7/20/18,NA,NA,,,
,317,N353/13R,6,Andrews method,At Addgene 7/20/18,NA,NA,,,
,324,N121A/31,5,Andrews method,At Addgene 7/20/18,NA,NA,,,
,332,N413/67,5,Andrews method,At Addgene 7/20/18,NA,NA,,,
,336,K25/73,4,Andrews method,At Addgene 6/12/19,NA,NA,,,
,339,N176A/35,4,Andrews method,At Addgene 7/20/18,NA,NA,,,
,341,N233/8,4,Neuromabseq inhouse cloning,"do not pursue in set 11, passed as R-364",,Set 11,,,
,348,N88/12,4,Andrews method,At Addgene 7/20/18,NA,NA,,,
,350,N104/32,3,Andrews method,At Addgene 7/20/18,NA,NA,,,
,356,N171/17,3,Andrews method,At Addgene 7/20/18,NA,NA,,,
,359,N277/7,3,Andrews method,At Addgene 7/20/18,NA,NA,,,
,360,N331/19,3,Andrews method,At Addgene 7/20/18,NA,NA,,,
,362,N348/82,3,Andrews method,At Addgene 7/20/18,NA,NA,,,
,366,N466/14,3,,,,,,,
,368,N104/37,2,Neuromabseq inhouse cloning,"do not pursue in set 11, passed as R-363",,Set 11,,,
,374,N206B/9,2,Andrews method,At Addgene 7/20/18,NA,NA,,,
,376,N222/6,2,Andrews method,At Addgene 7/20/18,NA,NA,,,
,381,N323B/20,2,Andrews method,At Addgene 7/20/18,NA,NA,,,
,385,N388A/60,2,Andrews method,At Addgene 6/12/19,NA,NA,,,
,405,N117/9,1,Andrews method,At Addgene 7/20/18,NA,NA,,,
,406,N129A/6,1,Andrews method,At Addgene 2/7/20,NA,NA,,,
,411,N326D/29,1,Andrews method,At Addgene 7/20/18,NA,NA,,,
,413,N359/28,1,Andrews method,At Addgene 7/20/18,NA,NA,,,
,432,L123/109.2,,,do not pursue in set 11,,Set 11,,,
,443,N356/23,0,Andrews method,At Addgene 7/20/18,NA,NA,,,
,471,D3/71R,,Andrews method,At Addgene 6/12/19,NA,NA,,,
,472,K58/35,,Andrews method,At Addgene 6/12/19,NA,NA,,,
,473,L61/14R,,Andrews method,At Addgene 2/7/20,NA,NA,,,
,475,N295B/54,,Andrews method,No DNA found,,,,,
,477,L64/32,,Andrews method,"DNA found, failed sequencing check, no need to pursue as GA309 succeeded",,,,,
,479,N351/23R,,Andrews method,At Addgene 6/12/19,NA,,,,
,480,N341/37R,,Andrews method,At Addgene 7/20/18,NA,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,N455/27,,Neuromabseq inhouse cloning,"Passed sequencing 07-Apr-22 >> Nothing to validate.. This Ab is NOT listed ""NAMING KEY..."" spreadsheet for year 4. Re-oder gblocks?",,Set 7,,,
,,L106/22,,Neuromabseq inhouse cloning,"Same as R-194, which passed validation",,Set 6,,,
,,L107/90 VL2,,Neuromabseq inhouse cloning,L107/90 VL1 passed validation via - no need for testing ,,Set 6,,,
,,L131/17,,Neuromabseq inhouse cloning,"Failed sequencing 02-Mar-22, no need to pursue as GA159 succeeded",,Set 6,,,
,,N145/20,,,"do not pursue in set 11, passed as R-358",,Set 11,,,
,,N210/5,,,"do not pursue in set 11, passed as R-361",,Set 11,,,
,,N323A/31,,,"do not pursue in set 11, passed as R-360",,Set 11,,,
,,N341/12,,,"do not pursue in set 11, passed as R-368",,Set 11,,,
,,N391/68,,,"do not pursue in set 11, passed as R-359",,Set 11,,,
,,N424/45,,,"do not pursue in set 11, passed as R-362",,Set 11,,,
,,N441/35,,,"do not pursue in set 11, passed as R-365",,Set 11,,,
